  #K-Path    Energy        Ga        Ti        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    2.854  -56.7173     0.000     0.995     0.000
    2.854  -56.7173     0.000     0.995     0.000
    2.884  -56.7172     0.000     0.994     0.000
    2.913  -56.7170     0.000     0.994     0.000
    2.943  -56.7166     0.000     0.994     0.000
    2.972  -56.7161     0.000     0.995     0.000
    3.002  -56.7155     0.000     0.994     0.000
    3.031  -56.7147     0.000     0.995     0.000
    3.061  -56.7138     0.000     0.995     0.000
    3.090  -56.7129     0.000     0.994     0.000
    3.120  -56.7118     0.000     0.994     0.000
    3.149  -56.7108     0.000     0.994     0.000
    3.179  -56.7097     0.000     0.995     0.000
    3.208  -56.7086     0.000     0.994     0.000
    3.238  -56.7075     0.000     0.995     0.000
    3.267  -56.7066     0.000     0.995     0.000
    3.297  -56.7057     0.000     0.995     0.000
    3.326  -56.7050     0.000     0.995     0.000
    3.356  -56.7045     0.000     0.995     0.000
    3.385  -56.7041     0.000     0.995     0.000
    3.415  -56.7040     0.000     0.995     0.000
    3.415  -56.7040     0.000     0.995     0.000
    3.456  -56.7042     0.000     0.995     0.000
    3.498  -56.7049     0.000     0.995     0.000
    3.540  -56.7060     0.000     0.996     0.000
    3.582  -56.7074     0.000     0.994     0.000
    3.623  -56.7090     0.000     0.995     0.000
    3.665  -56.7108     0.000     0.995     0.000
    3.707  -56.7128     0.000     0.995     0.000
    3.748  -56.7147     0.000     0.994     0.000
    3.790  -56.7167     0.000     0.995     0.000
    3.832  -56.7186     0.000     0.994     0.000
    3.874  -56.7203     0.000     0.994     0.000
    3.915  -56.7220     0.000     0.993     0.000
    3.957  -56.7235     0.000     0.994     0.000
    3.999  -56.7248     0.000     0.994     0.000
    4.040  -56.7258     0.000     0.994     0.000
    4.082  -56.7267     0.000     0.995     0.000
    4.124  -56.7273     0.000     0.994     0.000
    4.165  -56.7277     0.000     0.994     0.000
    4.207  -56.7278     0.000     0.994     0.000
    4.207  -56.7173     0.000     0.995     0.000
    4.227  -56.7173     0.000     0.995     0.000
    4.247  -56.7173     0.000     0.995     0.000
    4.267  -56.7173     0.000     0.995     0.000
    4.287  -56.7173     0.000     0.995     0.000
    4.307  -56.7173     0.000     0.995     0.000
    4.328  -56.7173     0.000     0.995     0.000
    4.348  -56.7173     0.000     0.995     0.000
    4.368  -56.7173     0.000     0.995     0.000
    4.388  -56.7173     0.000     0.995     0.000
    4.408  -56.7173     0.000     0.995     0.000
    4.428  -56.7173     0.000     0.995     0.000
    4.448  -56.7173     0.000     0.995     0.000
    4.468  -56.7173     0.000     0.995     0.000
    4.488  -56.7173     0.000     0.995     0.000
    4.508  -56.7173     0.000     0.995     0.000
    4.528  -56.7173     0.000     0.995     0.000
    4.548  -56.7173     0.000     0.995     0.000
    4.568  -56.7173     0.000     0.995     0.000
    4.588  -56.7173     0.000     0.995     0.000
    4.588  -56.7040     0.000     0.995     0.000
    4.608  -56.7040     0.000     0.995     0.000
    4.628  -56.7040     0.000     0.995     0.000
    4.649  -56.7040     0.000     0.995     0.000
    4.669  -56.7040     0.000     0.995     0.000
    4.689  -56.7040     0.000     0.995     0.000
    4.709  -56.7040     0.000     0.994     0.000
    4.729  -56.7040     0.000     0.995     0.000
    4.749  -56.7040     0.000     0.995     0.000
    4.769  -56.7040     0.000     0.995     0.000
    4.789  -56.7040     0.000     0.994     0.000
    4.809  -56.7040     0.000     0.995     0.000
    4.829  -56.7040     0.000     0.995     0.000
    4.849  -56.7040     0.000     0.995     0.000
    4.869  -56.7040     0.000     0.994     0.000
    4.889  -56.7040     0.000     0.995     0.000
    4.909  -56.7040     0.000     0.995     0.000
    4.929  -56.7040     0.000     0.995     0.000
    4.949  -56.7040     0.000     0.995     0.000
    4.970  -56.7040     0.000     0.994     0.000
 
# Band-Index:    2
    4.970  -56.7040     0.000     0.994     0.000
    4.949  -56.7040     0.000     0.995     0.000
    4.929  -56.7040     0.000     0.995     0.000
    4.909  -56.7040     0.000     0.995     0.000
    4.889  -56.7040     0.000     0.995     0.000
    4.869  -56.7040     0.000     0.994     0.000
    4.849  -56.7040     0.000     0.995     0.000
    4.829  -56.7040     0.000     0.995     0.000
    4.809  -56.7040     0.000     0.995     0.000
    4.789  -56.7040     0.000     0.994     0.000
    4.769  -56.7040     0.000     0.995     0.000
    4.749  -56.7040     0.000     0.995     0.000
    4.729  -56.7040     0.000     0.995     0.000
    4.709  -56.7040     0.000     0.994     0.000
    4.689  -56.7040     0.000     0.995     0.000
    4.669  -56.7040     0.000     0.995     0.000
    4.649  -56.7040     0.000     0.995     0.000
    4.628  -56.7040     0.000     0.995     0.000
    4.608  -56.7040     0.000     0.995     0.000
    4.588  -56.7040     0.000     0.995     0.000
    4.588  -56.7040     0.000     0.995     0.000
    4.568  -56.7040     0.000     0.995     0.000
    4.548  -56.7040     0.000     0.995     0.000
    4.528  -56.7040     0.000     0.995     0.000
    4.508  -56.7040     0.000     0.995     0.000
    4.488  -56.7040     0.000     0.995     0.000
    4.468  -56.7040     0.000     0.995     0.000
    4.448  -56.7040     0.000     0.995     0.000
    4.428  -56.7040     0.000     0.995     0.000
    4.408  -56.7040     0.000     0.995     0.000
    4.388  -56.7040     0.000     0.995     0.000
    4.368  -56.7040     0.000     0.995     0.000
    4.348  -56.7040     0.000     0.995     0.000
    4.328  -56.7040     0.000     0.995     0.000
    4.307  -56.7040     0.000     0.995     0.000
    4.287  -56.7040     0.000     0.995     0.000
    4.267  -56.7040     0.000     0.995     0.000
    4.247  -56.7040     0.000     0.995     0.000
    4.227  -56.7040     0.000     0.995     0.000
    4.207  -56.7040     0.000     0.995     0.000
    4.207  -56.7033     0.000     0.994     0.000
    4.165  -56.7033     0.000     0.994     0.000
    4.124  -56.7033     0.000     0.994     0.000
    4.082  -56.7033     0.000     0.994     0.000
    4.040  -56.7033     0.000     0.994     0.000
    3.999  -56.7034     0.000     0.994     0.000
    3.957  -56.7034     0.000     0.994     0.000
    3.915  -56.7035     0.000     0.994     0.000
    3.874  -56.7035     0.000     0.994     0.000
    3.832  -56.7036     0.000     0.994     0.000
    3.790  -56.7037     0.000     0.994     0.000
    3.748  -56.7037     0.000     0.994     0.000
    3.707  -56.7038     0.000     0.994     0.000
    3.665  -56.7038     0.000     0.994     0.000
    3.623  -56.7039     0.000     0.994     0.000
    3.582  -56.7039     0.000     0.994     0.000
    3.540  -56.7040     0.000     0.994     0.000
    3.498  -56.7040     0.000     0.994     0.000
    3.456  -56.7040     0.000     0.995     0.000
    3.415  -56.7040     0.000     0.995     0.000
    3.415  -56.7040     0.000     0.995     0.000
    3.385  -56.7040     0.000     0.995     0.000
    3.356  -56.7040     0.000     0.995     0.000
    3.326  -56.7040     0.000     0.995     0.000
    3.297  -56.7040     0.000     0.995     0.000
    3.267  -56.7040     0.000     0.995     0.000
    3.238  -56.7040     0.000     0.995     0.000
    3.208  -56.7040     0.000     0.995     0.000
    3.179  -56.7040     0.000     0.995     0.000
    3.149  -56.7040     0.000     0.995     0.000
    3.120  -56.7040     0.000     0.995     0.000
    3.090  -56.7040     0.000     0.995     0.000
    3.061  -56.7040     0.000     0.995     0.000
    3.031  -56.7040     0.000     0.995     0.000
    3.002  -56.7040     0.000     0.995     0.000
    2.972  -56.7040     0.000     0.995     0.000
    2.943  -56.7040     0.000     0.995     0.000
    2.913  -56.7040     0.000     0.995     0.000
    2.884  -56.7040     0.000     0.995     0.000
    2.854  -56.7040     0.000     0.995     0.000
    2.854  -56.7040     0.000     0.995     0.000
    2.825  -56.7040     0.000     0.995     0.000
    2.796  -56.7040     0.000     0.995     0.000
    2.766  -56.7039     0.000     0.995     0.000
    2.737  -56.7039     0.000     0.995     0.000
    2.707  -56.7038     0.000     0.995     0.000
    2.678  -56.7037     0.000     0.994     0.000
    2.648  -56.7037     0.000     0.995     0.000
    2.619  -56.7036     0.000     0.995     0.000
    2.589  -56.7035     0.000     0.995     0.000
    2.560  -56.7035     0.000     0.995     0.000
    2.530  -56.7034     0.000     0.995     0.000
    2.501  -56.7034     0.000     0.995     0.000
    2.471  -56.7034     0.000     0.995     0.000
    2.442  -56.7033     0.000     0.995     0.000
    2.412  -56.7033     0.000     0.995     0.000
    2.383  -56.7033     0.000     0.995     0.000
    2.353  -56.7033     0.000     0.995     0.000
    2.324  -56.7033     0.000     0.995     0.000
    2.294  -56.7033     0.000     0.994     0.000
    2.294  -56.7033     0.000     0.994     0.000
    2.274  -56.7033     0.000     0.994     0.000
    2.254  -56.7033     0.000     0.994     0.000
    2.234  -56.7033     0.000     0.994     0.000
    2.214  -56.7033     0.000     0.994     0.000
    2.194  -56.7033     0.000     0.994     0.000
    2.174  -56.7033     0.000     0.994     0.000
    2.154  -56.7033     0.000     0.994     0.000
    2.134  -56.7033     0.000     0.994     0.000
    2.114  -56.7033     0.000     0.994     0.000
    2.094  -56.7033     0.000     0.994     0.000
    2.073  -56.7033     0.000     0.994     0.000
    2.053  -56.7033     0.000     0.994     0.000
    2.033  -56.7033     0.000     0.994     0.000
    2.013  -56.7033     0.000     0.994     0.000
    1.993  -56.7033     0.000     0.994     0.000
    1.973  -56.7033     0.000     0.994     0.000
    1.953  -56.7033     0.000     0.994     0.000
    1.933  -56.7033     0.000     0.994     0.000
    1.913  -56.7033     0.000     0.994     0.000
    1.913  -56.7033     0.000     0.994     0.000
    1.871  -56.7033     0.000     0.994     0.000
    1.830  -56.7033     0.000     0.994     0.000
    1.788  -56.7033     0.000     0.994     0.000
    1.746  -56.7033     0.000     0.994     0.000
    1.704  -56.7034     0.000     0.994     0.000
    1.663  -56.7034     0.000     0.994     0.000
    1.621  -56.7035     0.000     0.994     0.000
    1.579  -56.7035     0.000     0.994     0.000
    1.538  -56.7036     0.000     0.994     0.000
    1.496  -56.7037     0.000     0.994     0.000
    1.454  -56.7037     0.000     0.994     0.000
    1.413  -56.7038     0.000     0.994     0.000
    1.371  -56.7038     0.000     0.994     0.000
    1.329  -56.7039     0.000     0.994     0.000
    1.287  -56.7039     0.000     0.994     0.000
    1.246  -56.7040     0.000     0.994     0.000
    1.204  -56.7040     0.000     0.994     0.000
    1.162  -56.7040     0.000     0.994     0.000
    1.121  -56.7040     0.000     0.995     0.000
    1.121  -56.7040     0.000     0.995     0.000
    1.091  -56.7040     0.000     0.995     0.000
    1.062  -56.7040     0.000     0.995     0.000
    1.032  -56.7040     0.000     0.995     0.000
    1.003  -56.7040     0.000     0.995     0.000
    0.973  -56.7040     0.000     0.995     0.000
    0.944  -56.7040     0.000     0.995     0.000
    0.914  -56.7040     0.000     0.995     0.000
    0.885  -56.7040     0.000     0.995     0.000
    0.855  -56.7040     0.000     0.995     0.000
    0.826  -56.7040     0.000     0.995     0.000
    0.796  -56.7040     0.000     0.995     0.000
    0.767  -56.7040     0.000     0.995     0.000
    0.737  -56.7040     0.000     0.995     0.000
    0.708  -56.7040     0.000     0.995     0.000
    0.678  -56.7040     0.000     0.995     0.000
    0.649  -56.7040     0.000     0.995     0.000
    0.619  -56.7040     0.000     0.995     0.000
    0.590  -56.7040     0.000     0.995     0.000
    0.560  -56.7040     0.000     0.995     0.000
    0.560  -56.7040     0.000     0.995     0.000
    0.531  -56.7040     0.000     0.995     0.000
    0.501  -56.7040     0.000     0.995     0.000
    0.472  -56.7039     0.000     0.995     0.000
    0.442  -56.7039     0.000     0.995     0.000
    0.413  -56.7038     0.000     0.995     0.000
    0.383  -56.7037     0.000     0.995     0.000
    0.354  -56.7037     0.000     0.995     0.000
    0.324  -56.7036     0.000     0.995     0.000
    0.295  -56.7035     0.000     0.995     0.000
    0.265  -56.7035     0.000     0.994     0.000
    0.236  -56.7034     0.000     0.995     0.000
    0.206  -56.7034     0.000     0.995     0.000
    0.177  -56.7034     0.000     0.995     0.000
    0.147  -56.7033     0.000     0.995     0.000
    0.118  -56.7033     0.000     0.995     0.000
    0.088  -56.7033     0.000     0.995     0.000
    0.059  -56.7033     0.000     0.995     0.000
    0.029  -56.7033     0.000     0.995     0.000
    0.000  -56.7033     0.000     0.994     0.000
 
# Band-Index:    3
    0.000  -56.6395     0.000     0.994     0.000
    0.029  -56.6394     0.000     0.994     0.000
    0.059  -56.6392     0.000     0.993     0.000
    0.088  -56.6389     0.000     0.994     0.000
    0.118  -56.6384     0.000     0.993     0.000
    0.147  -56.6379     0.000     0.994     0.000
    0.177  -56.6372     0.000     0.994     0.000
    0.206  -56.6363     0.000     0.994     0.000
    0.236  -56.6354     0.000     0.995     0.000
    0.265  -56.6345     0.000     0.994     0.000
    0.295  -56.6334     0.000     0.993     0.000
    0.324  -56.6323     0.000     0.994     0.000
    0.354  -56.6311     0.000     0.994     0.000
    0.383  -56.6315     0.000     0.995     0.000
    0.413  -56.6322     0.000     0.996     0.000
    0.442  -56.6328     0.000     0.996     0.000
    0.472  -56.6333     0.000     0.995     0.000
    0.501  -56.6336     0.000     0.995     0.000
    0.531  -56.6339     0.000     0.996     0.000
    0.560  -56.6339     0.000     0.995     0.000
    0.560  -56.6339     0.000     0.995     0.000
    0.590  -56.6340     0.000     0.996     0.000
    0.619  -56.6342     0.000     0.996     0.000
    0.649  -56.6346     0.000     0.996     0.000
    0.678  -56.6352     0.000     0.995     0.000
    0.708  -56.6358     0.000     0.995     0.000
    0.737  -56.6366     0.000     0.995     0.000
    0.767  -56.6375     0.000     0.995     0.000
    0.796  -56.6385     0.000     0.995     0.000
    0.826  -56.6395     0.000     0.996     0.000
    0.855  -56.6406     0.000     0.995     0.000
    0.885  -56.6417     0.000     0.995     0.000
    0.914  -56.6428     0.000     0.996     0.000
    0.944  -56.6439     0.000     0.995     0.000
    0.973  -56.6449     0.000     0.995     0.000
    1.003  -56.6457     0.000     0.995     0.000
    1.032  -56.6465     0.000     0.995     0.000
    1.062  -56.6470     0.000     0.995     0.000
    1.091  -56.6473     0.000     0.995     0.000
    1.121  -56.6474     0.000     0.995     0.000
    1.121  -56.6474     0.000     0.995     0.000
    1.162  -56.6472     0.000     0.995     0.000
    1.204  -56.6466     0.000     0.996     0.000
    1.246  -56.6455     0.000     0.995     0.000
    1.287  -56.6441     0.000     0.995     0.000
    1.329  -56.6425     0.000     0.996     0.000
    1.371  -56.6407     0.000     0.996     0.000
    1.413  -56.6388     0.000     0.996     0.000
    1.454  -56.6369     0.000     0.995     0.000
    1.496  -56.6349     0.000     0.996     0.000
    1.538  -56.6331     0.000     0.995     0.000
    1.579  -56.6317     0.000     0.995     0.000
    1.621  -56.6334     0.000     0.995     0.000
    1.663  -56.6349     0.000     0.993     0.000
    1.704  -56.6362     0.000     0.995     0.000
    1.746  -56.6374     0.000     0.994     0.000
    1.788  -56.6383     0.000     0.993     0.000
    1.830  -56.6390     0.000     0.994     0.000
    1.871  -56.6394     0.000     0.994     0.000
    1.913  -56.6395     0.000     0.994     0.000
    1.913  -56.6395     0.000     0.994     0.000
    1.933  -56.6395     0.000     0.994     0.000
    1.953  -56.6395     0.000     0.994     0.000
    1.973  -56.6395     0.000     0.994     0.000
    1.993  -56.6395     0.000     0.994     0.000
    2.013  -56.6395     0.000     0.994     0.000
    2.033  -56.6395     0.000     0.994     0.000
    2.053  -56.6395     0.000     0.994     0.000
    2.073  -56.6395     0.000     0.994     0.000
    2.094  -56.6395     0.000     0.994     0.000
    2.114  -56.6395     0.000     0.994     0.000
    2.134  -56.6395     0.000     0.994     0.000
    2.154  -56.6395     0.000     0.994     0.000
    2.174  -56.6395     0.000     0.994     0.000
    2.194  -56.6395     0.000     0.994     0.000
    2.214  -56.6395     0.000     0.994     0.000
    2.234  -56.6395     0.000     0.994     0.000
    2.254  -56.6395     0.000     0.994     0.000
    2.274  -56.6395     0.000     0.994     0.000
    2.294  -56.6395     0.000     0.994     0.000
    2.294  -56.6395     0.000     0.994     0.000
    2.324  -56.6394     0.000     0.994     0.000
    2.353  -56.6392     0.000     0.993     0.000
    2.383  -56.6389     0.000     0.994     0.000
    2.412  -56.6384     0.000     0.993     0.000
    2.442  -56.6379     0.000     0.994     0.000
    2.471  -56.6372     0.000     0.994     0.000
    2.501  -56.6363     0.000     0.994     0.000
    2.530  -56.6354     0.000     0.995     0.000
    2.560  -56.6345     0.000     0.994     0.000
    2.589  -56.6334     0.000     0.993     0.000
    2.619  -56.6323     0.000     0.994     0.000
    2.648  -56.6311     0.000     0.994     0.000
    2.678  -56.6315     0.000     0.995     0.000
    2.707  -56.6322     0.000     0.996     0.000
    2.737  -56.6328     0.000     0.996     0.000
    2.766  -56.6333     0.000     0.995     0.000
    2.796  -56.6336     0.000     0.995     0.000
    2.825  -56.6339     0.000     0.996     0.000
    2.854  -56.6339     0.000     0.995     0.000
    2.854  -56.6339     0.000     0.995     0.000
    2.884  -56.6340     0.000     0.996     0.000
    2.913  -56.6342     0.000     0.996     0.000
    2.943  -56.6346     0.000     0.996     0.000
    2.972  -56.6352     0.000     0.995     0.000
    3.002  -56.6358     0.000     0.995     0.000
    3.031  -56.6366     0.000     0.995     0.000
    3.061  -56.6375     0.000     0.995     0.000
    3.090  -56.6385     0.000     0.995     0.000
    3.120  -56.6395     0.000     0.996     0.000
    3.149  -56.6406     0.000     0.995     0.000
    3.179  -56.6417     0.000     0.995     0.000
    3.208  -56.6428     0.000     0.996     0.000
    3.238  -56.6439     0.000     0.995     0.000
    3.267  -56.6449     0.000     0.995     0.000
    3.297  -56.6457     0.000     0.995     0.000
    3.326  -56.6465     0.000     0.995     0.000
    3.356  -56.6470     0.000     0.995     0.000
    3.385  -56.6473     0.000     0.995     0.000
    3.415  -56.6475     0.000     0.995     0.000
    3.415  -56.6475     0.000     0.995     0.000
    3.456  -56.6472     0.000     0.995     0.000
    3.498  -56.6466     0.000     0.996     0.000
    3.540  -56.6455     0.000     0.995     0.000
    3.582  -56.6441     0.000     0.995     0.000
    3.623  -56.6425     0.000     0.996     0.000
    3.665  -56.6407     0.000     0.996     0.000
    3.707  -56.6388     0.000     0.996     0.000
    3.748  -56.6369     0.000     0.995     0.000
    3.790  -56.6349     0.000     0.996     0.000
    3.832  -56.6331     0.000     0.995     0.000
    3.874  -56.6317     0.000     0.995     0.000
    3.915  -56.6334     0.000     0.995     0.000
    3.957  -56.6349     0.000     0.993     0.000
    3.999  -56.6362     0.000     0.995     0.000
    4.040  -56.6374     0.000     0.994     0.000
    4.082  -56.6383     0.000     0.993     0.000
    4.124  -56.6390     0.000     0.994     0.000
    4.165  -56.6394     0.000     0.994     0.000
    4.207  -56.6395     0.000     0.994     0.000
    4.207  -56.6339     0.000     0.995     0.000
    4.227  -56.6339     0.000     0.995     0.000
    4.247  -56.6339     0.000     0.995     0.000
    4.267  -56.6339     0.000     0.995     0.000
    4.287  -56.6339     0.000     0.995     0.000
    4.307  -56.6339     0.000     0.995     0.000
    4.328  -56.6339     0.000     0.995     0.000
    4.348  -56.6339     0.000     0.995     0.000
    4.368  -56.6339     0.000     0.995     0.000
    4.388  -56.6339     0.000     0.995     0.000
    4.408  -56.6339     0.000     0.995     0.000
    4.428  -56.6339     0.000     0.995     0.000
    4.448  -56.6339     0.000     0.995     0.000
    4.468  -56.6339     0.000     0.995     0.000
    4.488  -56.6339     0.000     0.995     0.000
    4.508  -56.6339     0.000     0.995     0.000
    4.528  -56.6339     0.000     0.995     0.000
    4.548  -56.6339     0.000     0.995     0.000
    4.568  -56.6339     0.000     0.995     0.000
    4.588  -56.6339     0.000     0.995     0.000
    4.588  -56.6474     0.000     0.995     0.000
    4.608  -56.6475     0.000     0.995     0.000
    4.628  -56.6475     0.000     0.995     0.000
    4.649  -56.6475     0.000     0.995     0.000
    4.669  -56.6475     0.000     0.995     0.000
    4.689  -56.6475     0.000     0.995     0.000
    4.709  -56.6475     0.000     0.995     0.000
    4.729  -56.6475     0.000     0.995     0.000
    4.749  -56.6475     0.000     0.995     0.000
    4.769  -56.6475     0.000     0.995     0.000
    4.789  -56.6475     0.000     0.995     0.000
    4.809  -56.6475     0.000     0.995     0.000
    4.829  -56.6475     0.000     0.995     0.000
    4.849  -56.6475     0.000     0.995     0.000
    4.869  -56.6475     0.000     0.995     0.000
    4.889  -56.6475     0.000     0.995     0.000
    4.909  -56.6475     0.000     0.995     0.000
    4.929  -56.6475     0.000     0.995     0.000
    4.949  -56.6475     0.000     0.995     0.000
    4.970  -56.6475     0.000     0.995     0.000
 
# Band-Index:    4
    4.970  -56.6170     0.000     0.995     0.000
    4.949  -56.6170     0.000     0.995     0.000
    4.929  -56.6170     0.000     0.995     0.000
    4.909  -56.6170     0.000     0.994     0.000
    4.889  -56.6170     0.000     0.995     0.000
    4.869  -56.6170     0.000     0.995     0.000
    4.849  -56.6170     0.000     0.994     0.000
    4.829  -56.6170     0.000     0.995     0.000
    4.809  -56.6170     0.000     0.995     0.000
    4.789  -56.6170     0.000     0.995     0.000
    4.769  -56.6170     0.000     0.995     0.000
    4.749  -56.6170     0.000     0.995     0.000
    4.729  -56.6170     0.000     0.995     0.000
    4.709  -56.6170     0.000     0.995     0.000
    4.689  -56.6170     0.000     0.995     0.000
    4.669  -56.6170     0.000     0.995     0.000
    4.649  -56.6170     0.000     0.995     0.000
    4.628  -56.6170     0.000     0.995     0.000
    4.608  -56.6170     0.000     0.995     0.000
    4.588  -56.6170     0.000     0.995     0.000
    4.588  -56.6240     0.000     0.995     0.000
    4.568  -56.6240     0.000     0.995     0.000
    4.548  -56.6240     0.000     0.995     0.000
    4.528  -56.6240     0.000     0.995     0.000
    4.508  -56.6240     0.000     0.995     0.000
    4.488  -56.6240     0.000     0.995     0.000
    4.468  -56.6240     0.000     0.995     0.000
    4.448  -56.6240     0.000     0.995     0.000
    4.428  -56.6240     0.000     0.995     0.000
    4.408  -56.6240     0.000     0.995     0.000
    4.388  -56.6240     0.000     0.995     0.000
    4.368  -56.6240     0.000     0.995     0.000
    4.348  -56.6240     0.000     0.995     0.000
    4.328  -56.6240     0.000     0.995     0.000
    4.307  -56.6240     0.000     0.995     0.000
    4.287  -56.6240     0.000     0.995     0.000
    4.267  -56.6240     0.000     0.995     0.000
    4.247  -56.6240     0.000     0.995     0.000
    4.227  -56.6240     0.000     0.995     0.000
    4.207  -56.6240     0.000     0.995     0.000
    4.207  -56.6239     0.000     0.997     0.000
    4.165  -56.6241     0.000     0.995     0.000
    4.124  -56.6244     0.000     0.995     0.000
    4.082  -56.6251     0.000     0.996     0.000
    4.040  -56.6259     0.000     0.995     0.000
    3.999  -56.6270     0.000     0.995     0.000
    3.957  -56.6282     0.000     0.996     0.000
    3.915  -56.6297     0.000     0.996     0.000
    3.874  -56.6313     0.000     0.997     0.000
    3.832  -56.6299     0.000     0.994     0.000
    3.790  -56.6281     0.000     0.995     0.000
    3.748  -56.6262     0.000     0.993     0.000
    3.707  -56.6244     0.000     0.993     0.000
    3.665  -56.6226     0.000     0.994     0.000
    3.623  -56.6210     0.000     0.995     0.000
    3.582  -56.6197     0.000     0.996     0.000
    3.540  -56.6185     0.000     0.994     0.000
    3.498  -56.6177     0.000     0.995     0.000
    3.456  -56.6171     0.000     0.995     0.000
    3.415  -56.6170     0.000     0.995     0.000
    3.415  -56.6170     0.000     0.995     0.000
    3.385  -56.6170     0.000     0.994     0.000
